Marjorie Taylor Greene,Republican,House,GA,The Walt Disney Co,DIS:US,23 Nov,15 Nov 2021,7,Joint,BUY,1K–15K,158.43,20003707764
Michael McCaul,Republican,House,TX,COUNTY OF MERRIMACK NEW HAMPSHIRE,N/A,23 Nov,27 Oct 2021,26,Spouse,BUY,100K–250K,N/A,20003707803
Michael McCaul,Republican,House,TX,STATE OF MICHIGAN,N/A,23 Nov,15 Oct 2021,38,Spouse,BUY,100K–250K,N/A,20003707804
Michael McCaul,Republican,House,TX,Fiserv Inc,FI:US,23 Nov,1 Oct 2021,52,Spouse,BUY,100K–250K,109.78,20003707805
Michael McCaul,Republican,House,TX,Keurig Dr Pepper Inc,KDP:US,23 Nov,4 Oct 2021,49,Spouse,BUY,50K–100K,32.72,20003707806
Michael McCaul,Republican,House,TX,NEBRASKA DEPARTMENT OF CORRECTIONAL SERVICES,N/A,23 Nov,22 Oct 2021,31,Spouse,BUY,50K–100K,N/A,20003707807
Michael McCaul,Republican,House,TX,Keurig Dr Pepper Inc,KDP:US,23 Nov,5 Oct 2021,48,Spouse,BUY,50K–100K,33.43,20003707808
Michael McCaul,Republican,House,TX,Linde PLC,LIN:US,23 Nov,8 Oct 2021,45,Spouse,BUY,15K–50K,296.19,20003707809
Michael McCaul,Republican,House,TX,Keurig Dr Pepper Inc,KDP:US,23 Nov,8 Oct 2021,45,Spouse,BUY,15K–50K,35.04,20003707810
Michael McCaul,Republican,House,TX,Linde PLC,LIN:US,23 Nov,12 Oct 2021,41,Spouse,BUY,15K–50K,295.81,20003707811
Michael McCaul,Republican,House,TX,The TJX Companies Inc,TJX:US,23 Nov,1 Oct 2021,52,Spouse,BUY,15K–50K,66.61,20003707812
Michael McCaul,Republican,House,TX,UNIVERSITY OF MISSOURI,N/A,23 Nov,14 Oct 2021,39,Spouse,BUY,15K–50K,N/A,20003707813
